,IDEmploye,IDOperation,avg_temps,avg_rendement,most_used_machine,most_used_chain,Sexe,EtatCivil,Specialite,IDChaineMontage,TauxHoraire,Allure,Status,Age,Expertise
78,191,2564,76.1029411764706,69.70764705882353,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
79,191,2567,62.1,84.088,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
80,191,2580,96.0,52.17,1,14,2,2,Brideuse,23,5.588,90.0,1,41.0,11
81,191,2649,31.944444444444443,68.06111111111112,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
82,191,2652,16.142857142857142,75.89,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
83,191,2713,72.17857142857143,75.58428571428571,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
84,191,2727,52.0,80.4375,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
85,191,2734,27.0,31.4,12,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
86,191,2748,11.5,71.88,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
87,191,2777,50.0,79.37,4,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
88,191,2796,50.625,24.17,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
89,191,2935,40.0,52.63,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
90,191,2971,39.48,83.2272,16,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
91,191,2973,101.25,79.78,15,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
92,191,2988,26.8,67.76,1,11,2,2,Brideuse,23,5.588,90.0,1,41.0,11
93,191,2990,38.66666666666666,55.423333333333325,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
94,191,3024,24.5,96.115,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
95,191,3057,37.625,50.74625,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
96,191,3086,89.38461538461539,91.87615384615384,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
97,191,3087,62.15277777777778,83.58527777777778,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
98,191,3167,32.5,20.7,13,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
99,191,3187,27.0,74.346,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
100,191,3234,25.5,98.08,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
101,191,3284,15.0,101.36333333333332,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
102,191,3396,18.20833333333333,68.88666666666667,5,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
103,191,3423,61.58620689655172,92.1151724137931,16,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
104,191,3490,58.0,76.98666666666666,1,18,2,2,Brideuse,23,5.588,90.0,1,41.0,11
105,192,8,88.96118881118882,40.14741258741259,9,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
106,192,103,121.33333333333331,30.22666666666667,15,16,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
107,192,587,11.333333333333334,34.73666666666667,5,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
108,192,588,50.66666666666666,55.89333333333334,11,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
109,192,589,20.26551724137931,32.66793103448276,5,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
110,192,620,46.88636363636363,42.16090909090909,1,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
111,192,674,55.3327205882353,40.51691176470588,9,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
112,192,705,43.2,44.54,5,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
113,192,709,56.0,10.37,15,16,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
114,192,714,9.5,21.546666666666667,12,16,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
117,192,735,25.2,46.67,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
120,192,779,82.23015873015873,35.06809523809524,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
121,192,781,20.0,46.51,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
123,192,842,64.0,17.44,12,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
124,192,845,25.0,29.07,12,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
125,192,871,22.625,47.145,1,19,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
126,192,894,16.5,50.455,9,19,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
127,192,896,28.8,26.18,12,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
128,192,912,45.71666666666667,43.10041666666667,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
129,192,913,12.733333333333334,31.016666666666666,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
131,192,973,29.0,23.77,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
132,192,1001,38.9,45.11333333333334,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
133,192,1053,81.125,47.58,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
134,192,1054,7.0,43.75,1,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
135,192,1092,5.4,49.09,5,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
136,192,1097,17.0,19.77,15,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
137,192,1140,32.5,43.8,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
138,192,1142,43.2,17.01,12,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
139,192,1157,36.0,17.06,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
140,192,1203,14.85,55.0,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
143,192,1345,43.2,24.97,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
144,192,1388,28.0,11.76,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
146,192,1463,16.8,25.85,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
147,192,1503,19.0,20.65,5,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
149,192,1536,22.0,23.4,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
150,192,1643,59.5,20.8,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
151,192,1681,1.4,17.959,9,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
153,192,1720,33.0,55.93,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
154,192,1814,28.0,19.44,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
155,192,1843,16.8,44.21,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
156,192,1852,21.5,20.87,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
158,192,1970,31.5,13.88,9,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
159,192,1990,30.0,42.86,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
161,192,2061,22.5,13.89,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
162,192,2088,94.0,49.74,12,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
163,192,2098,21.0,18.62,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
164,192,2332,43.2,24.97,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
165,192,2503,27.0,10.51,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
166,192,2572,42.0,25.93,1,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
168,192,2727,26.0,11.76,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
170,192,2821,18.0,42.86,9,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
171,192,2971,23.5,20.8,16,21,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
173,192,3123,39.5,48.77,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
174,192,3125,9.5,22.47,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
175,192,3178,16.0,13.91,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
180,192,3275,15.0,55.56,5,12,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
181,192,3363,18.0,28.95,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
182,192,3368,49.5,51.03,1,13,2,2,Polyvalente,0,3.917,0.0,1,53.0,11
183,193,8,41.58947368421053,53.01315789473684,9,13,2,1,Finition,13,4.845,45.0,1,43.0,11
185,193,556,11.58125,36.2775,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
186,193,574,15.3288,45.20439999999999,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
188,193,581,61.0,51.69,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
189,193,587,31.27692307692308,55.84384615384616,5,13,2,1,Finition,13,4.845,45.0,1,43.0,11
190,193,588,15.271428571428572,19.38714285714286,11,13,2,1,Finition,13,4.845,45.0,1,43.0,11
191,193,589,12.75967741935484,23.905645161290323,5,13,2,1,Finition,13,4.845,45.0,1,43.0,11
193,193,609,9.75,11.21,13,13,2,1,Finition,13,4.845,45.0,1,43.0,11
194,193,612,10.8,59.95499999999999,15,13,2,1,Finition,13,4.845,45.0,1,43.0,11
197,193,620,20.25,20.955,1,13,2,1,Finition,13,4.845,45.0,1,43.0,11
